ts,source,ok,detail
2026-07-26T23:07:51+00:00,backpack:perp,1,ok 74 (0.5s)
2026-07-26T23:07:51+00:00,binance:future,0,FAIL HTTP 451 geo-blocked: https://fapi.binance.com/fapi/v1/premiumIndex
2026-07-26T23:07:51+00:00,binance:perp,0,FAIL HTTP 451 geo-blocked: https://fapi.binance.com/fapi/v1/premiumIndex
2026-07-26T23:07:51+00:00,binance:spot,0,FAIL HTTP 451 geo-blocked: https://api.binance.com/api/v3/ticker/24hr
2026-07-26T23:07:51+00:00,bingx:perp,1,ok 793 (1.5s)
2026-07-26T23:07:51+00:00,bitget:perp,1,ok 721 (0.3s)
2026-07-26T23:07:51+00:00,bitget:spot,1,ok 1180 (0.3s)
2026-07-26T23:07:51+00:00,bitmex:perp,1,ok 68 (0.4s)
2026-07-26T23:07:51+00:00,bybit:future,0,FAIL HTTP 403: https://api.bybit.com/v5/market/tickers?category=linear
2026-07-26T23:07:51+00:00,bybit:perp,0,FAIL HTTP 403: https://api.bybit.com/v5/market/tickers?category=linear
2026-07-26T23:07:51+00:00,bybit:spot,0,FAIL HTTP 403: https://api.bybit.com/v5/market/tickers?category=spot
2026-07-26T23:07:51+00:00,coinex:perp,1,ok 240 (0.6s)
2026-07-26T23:07:51+00:00,deribit:future+perp,1,ok 26 (0.7s)
2026-07-26T23:07:51+00:00,dydx:perp,1,ok 114 (0.7s)
2026-07-26T23:07:51+00:00,gate:future,1,ok 30 (1.7s)
2026-07-26T23:07:51+00:00,gate:perp,1,ok 850 (3.7s)
2026-07-26T23:07:51+00:00,gate:spot,1,ok 2138 (1.8s)
2026-07-26T23:07:51+00:00,htx:perp,1,ok 258 (1.4s)
2026-07-26T23:07:51+00:00,hyperliquid:perp,1,ok 177 (0.6s)
2026-07-26T23:07:51+00:00,kucoin:perp,1,ok 664 (0.5s)
2026-07-26T23:07:51+00:00,kucoin:spot,1,ok 924 (0.7s)
2026-07-26T23:07:51+00:00,mexc:perp,1,ok 907 (0.2s)
2026-07-26T23:07:51+00:00,mexc:spot,1,ok 1736 (0.5s)
2026-07-26T23:07:51+00:00,okx:future,1,ok 130 (0.6s)
2026-07-26T23:07:51+00:00,okx:perp,1,ok 150 (47.2s)
2026-07-26T23:07:51+00:00,okx:spot,1,ok 1318 (0.4s)
2026-07-26T23:07:51+00:00,paradex:perp,1,ok 83 (1.4s)
